Rebar_ID,Layer,Direction,Error_mm,Status
하면_H_1,하면,X-Dir,9.27,PASS
하면_H_10,하면,X-Dir,18.71,PASS
하면_H_11,하면,X-Dir,18.0,PASS
하면_H_12,하면,X-Dir,17.11,PASS
하면_H_13,하면,X-Dir,19.49,PASS
하면_H_14,하면,X-Dir,18.6,PASS
하면_H_15,하면,X-Dir,21.86,CAUTION
하면_H_16,하면,X-Dir,23.06,CAUTION
하면_H_2,하면,X-Dir,10.17,PASS
하면_H_3,하면,X-Dir,13.88,PASS
하면_H_4,하면,X-Dir,14.6,PASS
하면_H_5,하면,X-Dir,16.64,PASS
하면_H_6,하면,X-Dir,18.21,PASS
하면_H_7,하면,X-Dir,17.45,PASS
하면_H_8,하면,X-Dir,17.38,PASS
하면_H_9,하면,X-Dir,-,MISSING
하면_V_1,하면,Z-Dir,2.08,PASS
하면_V_10,하면,Z-Dir,1.45,PASS
하면_V_11,하면,Z-Dir,7.39,PASS
하면_V_2,하면,Z-Dir,1.7,PASS
하면_V_3,하면,Z-Dir,8.07,PASS
하면_V_4,하면,Z-Dir,1.21,PASS
하면_V_5,하면,Z-Dir,4.38,PASS
하면_V_6,하면,Z-Dir,0.9,PASS
하면_V_7,하면,Z-Dir,2.27,PASS
하면_V_8,하면,Z-Dir,4.78,PASS
하면_V_9,하면,Z-Dir,1.19,PASS
